project_name,task_id,update_phase,task_name,baseline_end_date,actual_finish,slip_days,severity_score,change_type
Beta,tsk-001,Update_001,Task 001,2025-01-29,NA,0.0,0.0,Initial
Beta,tsk-001,Update_002,Task 001,2025-01-29,2025-02-22,24.0,10.0,Initial
Beta,tsk-001,Update_003,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-001,Update_004,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-001,Update_005,Task 001,NA,NA,0.0,0.0,Initial
Beta,tsk-001,Update_006,Task 001,2025-01-29,2025-02-22,24.0,10.0,Initial
Beta,tsk-001,Update_007,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-001,Update_008,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-001,Update_009,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-001,Update_010,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-001,Update_011,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-001,Update_012,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-001,Update_013,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-001,Update_014,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-001,Update_015,Task 001,2025-01-29,2025-02-22,24.0,10.0,No Change
Beta,tsk-002,Update_001,Task 002,2025-04-19,NA,0.0,0.0,Initial
Beta,tsk-002,Update_002,Task 002,2025-04-19,NA,0.0,0.0,Initial
Beta,tsk-002,Update_003,Task 002,2025-04-19,2025-02-26,-52.0,0.0,Initial
Beta,tsk-002,Update_004,Task 002,2025-04-19,2025-02-26,-52.0,0.0,No Change
Beta,tsk-002,Update_005,Task 002,NA,NA,0.0,0.0,Initial
Beta,tsk-002,Update_006,Task 002,2025-04-19,2025-02-26,-52.0,0.0,Initial
Beta,tsk-002,Update_007,Task 002,2025-04-19,2025-02-26,-52.0,0.0,No Change
Beta,tsk-002,Update_008,Task 002,2025-04-19,2025-02-26,-52.0,0.0,No Change
Beta,tsk-002,Update_009,Task 002,2025-04-19,2025-02-26,-52.0,0.0,No Change
Beta,tsk-002,Update_010,Task 002,2025-04-19,2025-02-26,-52.0,0.0,No Change
Beta,tsk-002,Update_011,Task 002,2025-04-19,2025-02-26,-52.0,0.0,No Change
Beta,tsk-002,Update_012,Task 002,2025-04-19,2025-02-26,-52.0,0.0,No Change
Beta,tsk-002,Update_013,Task 002,2025-04-19,2025-02-26,-52.0,0.0,No Change
Beta,tsk-002,Update_014,Task 002,2025-04-19,2025-02-26,-52.0,0.0,No Change
Beta,tsk-002,Update_015,Task 002,2025-04-19,2025-02-26,-52.0,0.0,No Change
Beta,tsk-003,Update_001,Task 003,2025-06-14,NA,0.0,0.0,Initial
Beta,tsk-003,Update_002,Task 003,2025-06-14,NA,0.0,0.0,Initial
Beta,tsk-003,Update_003,Task 003,2025-06-14,2025-09-01,79.0,10.0,Initial
Beta,tsk-003,Update_004,Task 003,2025-06-14,2025-09-01,79.0,10.0,No Change
Beta,tsk-003,Update_005,Task 003,NA,NA,0.0,0.0,Initial
Beta,tsk-003,Update_006,Task 003,2025-06-14,2025-09-01,79.0,10.0,Initial
Beta,tsk-003,Update_007,Task 003,2025-06-14,2025-09-01,79.0,10.0,No Change
Beta,tsk-003,Update_008,Task 003,2025-06-14,2025-09-01,79.0,10.0,No Change
Beta,tsk-003,Update_009,Task 003,2025-06-14,2025-09-01,79.0,10.0,No Change
Beta,tsk-003,Update_010,Task 003,2025-06-14,2025-09-01,79.0,10.0,No Change
Beta,tsk-003,Update_011,Task 003,2025-06-14,2025-09-01,79.0,10.0,No Change
Beta,tsk-003,Update_012,Task 003,2025-06-14,2025-09-01,79.0,10.0,No Change
Beta,tsk-003,Update_013,Task 003,2025-06-14,2025-09-01,79.0,10.0,No Change
Beta,tsk-003,Update_014,Task 003,2025-06-14,2025-09-01,79.0,10.0,No Change
Beta,tsk-003,Update_015,Task 003,2025-06-14,2025-09-01,79.0,10.0,No Change
Beta,tsk-004,Update_001,Task 004,2025-09-05,NA,0.0,0.0,Initial
Beta,tsk-004,Update_002,Task 004,2025-09-05,NA,0.0,0.0,Initial
Beta,tsk-004,Update_003,Task 004,2025-09-05,NA,0.0,0.0,Initial
